chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw,n_records,sample_id
Cu2InMn,0.734865,3,1.0397207708399179,74.212186075,4.25,10.5,1166.0721250000001,7.75,4.5,1.7825,1,TUDA/Tetragonally_distortion_cubic/Mn4In4Cu8_#139_185.json
Cu2MnSb,0.728644,3,1.0397207708399179,75.94768607500001,4.25,11.0,1284.58,2.75,5.0,1.8499999999999999,1,TUDA/Tetragonally_distortion_cubic/Mn4Cu8Sb4_#139_188.json
Cu2MnSn,0.746521,3,1.0397207708399179,75.18533607500001,4.25,10.75,1184.905,3.75,4.75,1.8275,1,TUDA/Tetragonally_distortion_cubic/Mn4Cu8Sn4_#139_182.json
CuMn3N,1.5061,3,0.9502705392332346,48.47348658,3.6,9.4,1195.584,-68.64,6.0,1.9180000000000001,1,TUDA/Tetragonally_distortion_cubic/Mn3Cu1N1_#123_41.json
CuMnPd2,0.9142159999999999,3,1.0397207708399179,82.831586075,4.5,9.5,1633.2175,-17.5,4.75,1.9625000000000001,1,TUDA/Tetragonally_distortion_cubic/Mn4Cu4Pd8_#139_112.json
CuMnSb,0.9036879999999999,3,1.0986122886681098,80.08148143333332,4.333333333333333,11.0,1260.1833333333332,0.0,5.333333333333333,1.833333333333333,1,TUDA/Tetragonally_distortion_cubic/Mn4Cu4Sb4_#119_117.json
Fe100Si20Sm7Zr3,1.08,4,0.7340815890765018,57.480204615384615,3.976923076923077,8.561538461538461,1774.146153846154,-22.1091124260355,5.484615384615385,1.793692307692308,1,DUK/Sm7Zr3Fe100Si20_#139_0_1.json
Fe10Si2Zr,1.1,3,0.6870920273799715,54.29586153846154,3.9230769230769234,8.615384615384617,1816.3076923076924,-26.46153846153846,5.538461538461538,1.8023076923076924,1,BCM/ZrFe10Si2_#139_6.json
Fe10SmV2,1.186,3,0.6870920273799715,62.36130923076923,4.153846153846154,7.153846153846154,1832.3846153846155,-2.7455621301775146,5.615384615384616,1.7484615384615387,1,UPP/Sm1Fe10V2_#71_17.json
Fe11MoSm,1.15,3,0.5359610497090694,66.20078461538462,4.230769230769231,7.461538461538462,1858.6153846153845,-0.21301775147928992,5.769230769230769,1.8046153846153847,1,BCM/SmFe11Mo_#139_16.json
Fe11Si5,0.9007259999999999,2,0.6210863745552452,47.1701375,3.6875,9.875,1772.25,-30.078125,5.375,1.8518750000000002,1,TUDA/Tetragonally_distortion_cubic/Fe11Si5_#123_118.json
Fe11SmV,1.279,3,0.5359610497090694,62.738516153846156,4.153846153846154,7.384615384615385,1803.7692307692307,-1.680473372781065,5.6923076923076925,1.7638461538461538,2,
Fe12GaSn3,1.451,3,0.7029189307735104,68.49985,4.1875,9.4375,1471.8846625,5.859375,5.4375,1.853125,1,UPP/Fe12Sn3Ga1_#156_3.json
Fe12GeSn3,1.464,3,0.7029189307735104,68.68158125000001,4.1875,9.5,1528.665,2.6953125,5.5,1.865625,1,UPP/Fe12Sn3Ge1_#156_4.json
Fe12InSn3,1.427,3,0.7029189307735104,71.3182875,4.25,9.4375,1479.81178125,9.75,5.4375,1.85125,1,UPP/Fe12Sn3In1_#156_7.json
Fe12PbSn3,1.441,3,0.7029189307735104,77.09278125,4.3125,9.5,1490.4906250000001,11.71875,5.5,1.856875,1,UPP/Fe12Sn3Pb1_#156_11.json
Fe12SbSn3,1.492,3,0.7029189307735104,71.7521625,4.25,9.5625,1509.43875,8.015625,5.5625,1.868125,2,
Fe12SiSn3,1.465,3,0.7029189307735104,65.89746875,4.125,9.5,1558.3899999999999,-0.890625,5.5,1.8587500000000001,1,UPP/Fe12Sn3Si1_#156_1.json
Fe13Ge3,1.67339,2,0.48257756517701206,58.9925,4.0,9.125,1698.575,-9.4453125,5.625,1.86375,1,TUDA/Tetragonally_distortion_cubic/Fe13Ge3_#1_23.json
Fe17Ta3,1.665,2,0.42270908780599087,74.6106023,4.3,7.55,2032.85,-7.65,5.85,1.7805000000000002,6,
Fe23MoSm2,1.23,3,0.431071102348777,64.65825384615384,4.1923076923076925,7.538461538461538,1816.8846153846152,-0.2603550295857988,5.769230769230769,1.791923076923077,1,BCM/Sm10Fe115Mo5_#139_17.json
Fe2GaNi,1.16788,3,1.0397207708399179,60.026735,4.0,9.75,1413.22865,-5.75,4.75,1.845,2,TUDA/Tetragonally_distortion_cubic/Ga4Fe8Ni4_#139_81.json
Fe2GaTi,0.209227,3,1.0397207708399179,57.32015,4.0,8.25,1466.47865,-15.25,4.75,1.7525000000000002,1,TUDA/Tetragonally_distortion_cubic/Ti4Ga4Fe8_#139_336.json
Fe2Ge,1.202,2,0.6365141682948129,61.44039999999999,4.0,10.0,1611.1333333333332,-13.777777777777777,5.333333333333333,1.89,25,ICCRAM_UBU/AGA/Fe_Ge/2-1/Fe12Ge6_#25_1.json
Fe2Hf,0.878485,2,0.6365141682948129,96.72746666666666,4.666666666666666,6.666666666666666,2042.6666666666665,-18.666666666666664,5.333333333333333,1.6533333333333333,1,TUDA/Tetragonally_distortion_cubic/Hf8Fe16_#141_127.json
Fe2MnSi,0.799535,3,1.0397207708399179,48.678361075,3.75,9.25,1707.0,-28.75,5.75,1.7775,1,TUDA/Tetragonally_distortion_cubic/Mn4Fe8Si4_#139_162.json
Fe2N,1.3035,2,0.6365141682948129,41.899133333333324,3.333333333333333,10.333333333333332,1228.3833333333332,-77.33333333333333,5.666666666666667,2.2333333333333334,14,
Fe2Nb,0.9520000000000001,2,0.6365141682948129,68.19892399999999,4.333333333333333,7.0,2124.0,-14.222222222222221,5.666666666666666,1.7533333333333334,19,ICCRAM_UBU/AGA/Fe-Nb/2-1/Fe4Nb2_#123_1.json
Fe2Re3,0.342844,2,0.6730116670092564,134.06234,5.2,7.4,2799.8,0.0,6.6000000000000005,1.872,1,TUDA/Tetragonally_distortion_cubic/Fe8Re12_#92_291.json
Fe2Sb,1.0499999999999998,2,0.6365141682948129,77.81683333333332,4.333333333333333,10.333333333333332,1508.5933333333332,8.88888888888889,5.666666666666666,1.9033333333333333,6,
Fe2Sc,0.8565,2,0.6365141682948129,52.21543616666666,4.0,6.333333333333333,1812.0,-9.777777777777777,5.0,1.6733333333333333,14,
Fe2Si,0.88,2,0.6365141682948129,46.5918,3.6666666666666665,10.0,1769.6666666666665,-31.11111111111111,5.333333333333333,1.8533333333333333,18,
Fe2SiV,0.214334,3,1.0397207708399179,47.679227499999996,3.75,8.75,1873.0,-33.0,5.25,1.7975,1,TUDA/Tetragonally_distortion_cubic/V4Fe8Si4_#139_331.json
Fe2Ta,0.857,2,0.6365141682948129,97.54609399999998,4.666666666666666,7.0,2304.0,-13.333333333333332,5.666666666666667,1.72,5,ICCRAM_UBU/AGA/Fe-Ta/2-1/Fe4Ta2_#164_1.json
Fe2Y,0.785501,2,0.6365141682948129,66.865414,4.333333333333333,6.333333333333333,1807.0,-0.8888888888888888,5.0,1.6266666666666667,1,TUDA/Tetragonally_distortion_cubic/Y8Fe16_#141_169.json
Fe2Zr,0.816944,2,0.6365141682948129,67.6382,4.333333333333333,6.666666666666666,1916.6666666666665,-22.22222222222222,5.333333333333333,1.6633333333333333,1,TUDA/Tetragonally_distortion_cubic/Zr8Fe16_#141_155.json
Fe3Ga,1.5867200000000001,2,0.5623351446188083,59.314675,4.0,9.25,1433.97865,-1.5,5.25,1.8250000000000002,2,
Fe3Ge,1.55349,2,0.5623351446188083,60.041599999999995,4.0,9.5,1661.1,-11.625,5.5,1.875,13,TUDA/Tetragonally_distortion_cubic/Fe3Ge1_#123_36.json
Fe3N,1.7935,2,0.5623351446188083,45.38565,3.5,9.75,1374.0375,-65.25,5.75,2.1325000000000003,16,
Fe3NNi,1.72131,3,0.9502705392332346,48.047208,3.6,9.8,1444.8300000000002,-53.760000000000005,5.4,2.088,3,TUDA/Tetragonally_distortion_cubic/Fe3Ni1N1_#123_16.json
Fe3NPd,1.66139,3,0.9502705392332346,57.59272,3.8,9.8,1464.8400000000001,-53.6,5.4,2.146,1,TUDA/Tetragonally_distortion_cubic/Fe3Pd1N1_#123_26.json
Fe3NPt,1.478265,3,0.9502705392332346,75.3255,4.0,9.8,1507.51,-56.32,5.8,2.162,2,
Fe3NRh,1.79284,3,0.9502705392332346,56.8896204,3.8,9.6,1546.63,-54.24,5.8,2.162,1,TUDA/Tetragonally_distortion_cubic/Fe3Rh1N1_#123_12.json
Fe3Nb,1.259,2,0.5623351446188083,65.110493,4.25,7.25,2045.75,-12.0,5.75,1.7725,11,ICCRAM_UBU/AGA/Fe-Nb/3-1/Fe3Nb1_#123_2.json
Fe3Pd,1.90583,2,0.5623351446188083,68.48915,4.25,8.5,1815.2625,-3.0,5.5,1.9225,1,TUDA/Tetragonally_distortion_cubic/Fe3Pd1_#123_5.json
Fe3Pt,1.88632,2,0.5623351446188083,90.655125,4.5,8.5,1868.6,-9.75,6.0,1.9425,1,TUDA/Tetragonally_distortion_cubic/Fe3Pt1_#123_6.json
Fe3Sb,1.4275,2,0.5623351446188083,72.323925,4.25,9.75,1584.195,7.5,5.75,1.885,18,
Fe3Sc,1.305,2,0.5623351446188083,53.122877125,4.0,6.75,1811.75,-8.25,5.25,1.7125000000000001,21,ICCRAM_UBU/AGA/Fe-Sc/3-1/Fe12Sc4_#12_4.json
Fe3Sc2,0.648,2,0.6730116670092564,51.4894834,4.0,6.0,1812.2,-10.559999999999999,4.8,1.6420000000000001,7,ICCRAM_UBU/AGA/Fe-Sc/3-2/Fe12Sc8_#64_1.json
Fe3Si,1.3755000000000002,2,0.5623351446188083,48.90515,3.75,9.5,1780.0,-26.25,5.5,1.8475000000000001,20,
Fe3Sn,1.3845,2,0.5623351446188083,71.561575,4.25,9.5,1484.52,8.25,5.5,1.8625,4,
Fe3Ta,1.173,2,0.5623351446188083,87.1208705,4.5,7.25,2180.75,-11.25,5.75,1.7475,31,ICCRAM_UBU/AGA/Fe-Ta/3-1/18-6/Fe18Ta6_#8_1.json
Fe3Ta2,0.681,2,0.6730116670092564,105.8862728,4.8,6.8,2402.6,-14.399999999999999,5.6,1.6980000000000002,5,ICCRAM_UBU/AGA/Fe-Ta/3-2/Fe6Ta4_#83_1.json
Fe3Ta4,0.40800000000000003,2,0.6829081047004717,127.33244685714284,5.142857142857142,6.285714285714286,2656.142857142857,-14.693877551020407,5.428571428571428,1.6414285714285715,3,ICCRAM_UBU/AGA/Fe-Ta/3-4/Fe6Ta8_#1_1.json
Fe3V,1.2237200000000001,2,0.5623351446188083,54.619277499999995,4.0,7.25,1904.0,-5.25,5.75,1.78,1,TUDA/Tetragonally_distortion_cubic/V4Fe12_#139_78.json
Fe4Ge,1.749,2,0.5004024235381879,59.20232,4.0,9.200000000000001,1691.0800000000002,-9.920000000000002,5.6000000000000005,1.866,21,ICCRAM_UBU/AGA/Fe_Ge/4-1/Fe8Ge2_#12_1.json
Fe4N,1.936,2,0.5004024235381879,47.477560000000004,3.6,9.4,1461.4300000000003,-55.680000000000014,5.800000000000001,2.072,26,
Fe4Nb,1.5290000000000001,2,0.5004024235381879,63.2574344,4.2,7.4,1998.8000000000002,-10.240000000000002,5.800000000000001,1.7840000000000003,4,
Fe4Sc,1.3719999999999999,2,0.5004024235381879,53.6673417,4.0,7.0,1811.6000000000001,-7.040000000000001,5.4,1.7360000000000002,19,ICCRAM_UBU/AGA/Fe-Sc/4-1/Fe8Sc2_#139_1.json
Fe4Si,1.585,2,0.5004024235381879,50.29316,3.8000000000000003,9.200000000000001,1786.2,-22.400000000000006,5.6000000000000005,1.844,25,ICCRAM_UBU/AGA/Fe-Si/4-1/Fe16Si4_#63_1.json
Fe4Ta,1.4344999999999999,2,0.5004024235381879,80.8657364,4.4,7.4,2106.8,-9.600000000000001,5.800000000000001,1.7640000000000002,30,
Fe50Nd2Si10Zr3,1.24,4,0.7388621556114527,55.92718769230769,3.953846153846154,8.584615384615386,1790.7384615384617,-23.73491124260355,5.507692307692308,1.7964615384615386,1,BCM/Zr6Nd4Fe100Si20_#139_11.json
Fe50Nd3Si10Zr2,1.2,4,0.7388621556114527,56.74285076923078,3.9692307692307693,8.569230769230769,1777.9538461538461,-22.400000000000002,5.492307692307693,1.7935384615384615,1,BCM/Zr4Nd6Fe100Si20_#139_9.json
Fe5Ge,1.832,2,0.45056120886630463,58.6428,4.0,9.0,1711.0666666666668,-8.61111111111111,5.666666666666667,1.86,16,
Fe5Ge3,1.0655000000000001,2,0.661563238157982,62.139799999999994,4.0,10.25,1586.15,-14.53125,5.25,1.8975,20,
Fe5N,2.046,2,0.45056120886630463,48.872166666666665,3.666666666666667,9.166666666666666,1519.6916666666668,-48.333333333333336,5.833333333333333,2.0316666666666667,35,ICCRAM_UBU/AGA/Fe-N/5-1/10-2/Fe10N2_#1_4.json
Fe5Nb,1.601,2,0.45056120886630463,62.022062,4.166666666666667,7.5,1967.5,-8.88888888888889,5.833333333333334,1.7916666666666667,7,ICCRAM_UBU/AGA/Fe-Nb/5-1/Fe10Nb2_#65_2.json
Fe5Sb,1.7429999999999999,2,0.45056120886630463,66.83101666666667,4.166666666666667,9.166666666666668,1659.7966666666666,5.555555555555555,5.833333333333334,1.8666666666666667,7,ICCRAM_UBU/AGA/Fe-Sb/5-1/Fe10Sb2_#65_3.json
Fe5Sc,1.6320000000000001,2,0.45056120886630463,54.030318083333334,4.0,7.166666666666667,1811.5,-6.111111111111112,5.5,1.7516666666666667,10,
Fe5Si,1.7730000000000001,2,0.45056120886630463,51.2185,3.8333333333333335,9.0,1790.3333333333333,-19.444444444444446,5.666666666666667,1.8416666666666668,7,ICCRAM_UBU/AGA/Fe-Si/5-1/Fe10Si2_#65_1.json
Fe5Ta,1.591,2,0.45056120886630463,76.695647,4.333333333333333,7.5,2057.5,-8.333333333333334,5.833333333333333,1.7750000000000001,17,ICCRAM_UBU/AGA/Fe-Ta/5-1/10-2/Fe10Ta2_#11_1.json
Fe5Ta2,1.022,2,0.5982695885852573,91.58882342857143,4.571428571428571,7.142857142857143,2233.5714285714284,-12.244897959183675,5.714285714285714,1.7357142857142858,15,ICCRAM_UBU/AGA/Fe-Ta/5-2/Fe10Ta4_#186_1.json
Fe6Ge,1.907,2,0.41011631828840905,58.24314285714285,4.0,8.857142857142858,1725.3428571428572,-7.591836734693876,5.7142857142857135,1.8557142857142856,16,ICCRAM_UBU/AGA/Fe_Ge/6-1/Fe12Ge2_#2_3.json
Fe6Mn6SbSn3,1.2570000000000001,4,1.2227793161934692,71.4119791125,4.25,9.1875,1399.93875,0.984375,5.9375,1.763125,1,UPP/Fe6Mn6Sn3Sb1_#1_14.json
Fe6N,2.13,2,0.41011631828840905,49.86831428571428,3.714285714285714,9.0,1561.3071428571427,-42.61224489795918,5.857142857142857,2.0028571428571427,12,
Fe6Nb,1.72,2,0.41011631828840905,61.13965314285714,4.142857142857142,7.571428571428571,1945.142857142857,-7.83673469387755,5.857142857142857,1.7971428571428572,7,ICCRAM_UBU/AGA/Fe-Nb/6-1/Fe12Nb2_#12_1.json
Fe6Sb,1.784,2,0.41011631828840905,65.26161428571427,4.142857142857142,9.0,1681.3971428571429,4.897959183673469,5.857142857142857,1.8614285714285714,8,
Fe6SbSn,1.4849999999999999,3,0.7356219397587946,71.94275,4.25,9.625,1534.3575,7.8125,5.625,1.87375,1,UPP/Fe12Sn2Sb2_#156_15.json
Fe6Sc,1.693,2,0.41011631828840905,54.289586928571424,4.0,7.285714285714286,1811.4285714285713,-5.387755102040815,5.571428571428571,1.762857142857143,11,ICCRAM_UBU/AGA/Fe-Sc/6-1/Fe6Sc1_#183_1.json
Fe6Si,1.922,2,0.41011631828840905,51.87945714285714,3.8571428571428568,8.857142857142858,1793.2857142857142,-17.14285714285714,5.7142857142857135,1.8399999999999999,8,
Fe6Ta,1.7069999999999999,2,0.41011631828840905,73.7170117142857,4.285714285714286,7.571428571428571,2022.2857142857142,-7.346938775510203,5.857142857142857,1.7828571428571427,22,ICCRAM_UBU/AGA/Fe-Ta/6-1/12-2/Fe24Ta4_#12_6.json
Fe7Ta,1.782,2,0.37677016125643675,71.48303525,4.25,7.625,1995.875,-6.5625,5.875,1.78875,20,ICCRAM_UBU/AGA/Fe-Ta/7-1/14-2/Fe14Ta2_#11_3.json
Fe7Ta2,1.3900000000000001,2,0.5297061990576545,83.64579599999999,4.444444444444445,7.333333333333333,2139.6666666666665,-10.37037037037037,5.777777777777778,1.7566666666666666,6,ICCRAM_UBU/AGA/Fe-Ta/7-2/Fe14Ta4_#1_3.json
Fe8Mn4SbSn3,1.3639999999999999,4,1.18030455699462,71.525373575,4.25,9.3125,1436.43875,3.328125,5.8125,1.798125,1,UPP/Fe8Mn4Sn3Sb1_#1_13.json
Fe8N,2.204,2,0.34883209584303193,51.19651111111111,3.7777777777777777,8.777777777777777,1616.7944444444443,-34.37037037037037,5.888888888888888,1.9644444444444444,25,ICCRAM_UBU/AGA/Fe-N/8-1/Fe8N1_#10_1.json
Fe8NNi8,1.572,3,0.8760918930634294,54.724477647058826,3.8823529411764706,9.352941176470589,1669.1264705882352,-19.044982698961938,5.0,1.9388235294117646,1,TUDA/FeNiN/Fe8Ni8N1_#123_1.json
Fe8Ta,1.8445,2,0.34883209584303193,69.745498,4.222222222222222,7.666666666666666,1975.333333333333,-5.925925925925926,5.888888888888888,1.7933333333333334,8,
FeGaRh2,0.890091,3,1.0397207708399179,82.844826,4.5,9.75,1646.97865,-15.5,5.25,2.05,1,TUDA/Tetragonally_distortion_cubic/Ga4Fe4Rh8_#139_124.json
FeGe,0.633,2,0.6931471805599453,64.238,4.0,11.0,1511.2,-15.5,5.0,1.92,22,
FeGeRu2,0.8658579999999999,3,1.0397207708399179,82.655,4.5,9.5,2059.1,-15.625,6.5,2.06,1,TUDA/Tetragonally_distortion_cubic/Fe4Ge4Ru8_#139_132.json
FeKTc2,0.446337,3,1.0397207708399179,72.7358775,4.5,5.75,1751.925,51.25,5.25,1.6125,1,TUDA/Tetragonally_distortion_cubic/K4Fe4Tc8_#119_266.json
FeLiRh2,0.831384,3,1.0397207708399179,67.149051,4.0,6.75,1684.6625,-3.0,4.75,1.8424999999999998,1,TUDA/Tetragonally_distortion_cubic/Li4Fe4Rh8_#139_149.json
FeMg2Nb,0.420214,3,1.0397207708399179,49.340393,3.75,4.25,1601.75,21.0,3.75,1.5125000000000002,1,TUDA/Tetragonally_distortion_cubic/Mg8Nb4Fe4_#139_275.json
FeMgRh2,0.860356,3,1.0397207708399179,71.490301,4.25,7.0,1802.0,-6.5,5.0,1.9249999999999998,1,TUDA/Tetragonally_distortion_cubic/Mg4Fe4Rh8_#139_137.json
FeNi,1.5,2,0.6931471805599453,57.26932,4.0,9.0,1769.5,-2.0,5.0,1.87,4,DUK/Fe1Ni1_#123_0_1.json
FeNi3,1.24865,2,0.5623351446188083,57.98138,4.0,9.5,1748.75,-1.5,4.5,1.89,1,TUDA/Tetragonally_distortion_cubic/Fe1Ni3_#123_72.json
FeOsTa2,0.30058,3,1.0397207708399179,151.993491,5.5,6.5,2924.25,-27.5,6.0,1.7575,1,TUDA/Tetragonally_distortion_cubic/Ta8Fe4Os4_#139_298.json
FePbW2,0.346371,3,1.0397207708399179,157.6843,5.5,8.5,2450.4025,31.75,5.5,2.105,1,TUDA/Tetragonally_distortion_cubic/Fe4Pb4W8_#119_288.json
FePbZn,0.5341159999999999,3,1.0986122886681098,109.47906666666667,4.666666666666666,11.333333333333332,1034.7633333333333,16.888888888888886,4.0,1.7833333333333332,1,TUDA/Tetragonally_distortion_cubic/Zn4Fe4Pb4_#119_240.json
FePd3,0.839541,2,0.5623351446188083,93.77705,4.75,9.5,1823.7875,-3.0,4.5,2.1075,1,TUDA/Tetragonally_distortion_cubic/Fe1Pd3_#123_144.json
FePt3,0.851884,2,0.5623351446188083,160.274975,5.5,9.5,1983.8000000000002,-9.75,6.0,2.1675,1,TUDA/Tetragonally_distortion_cubic/Fe1Pt3_#123_141.json
FePtSb,0.597483,3,1.0986122886681098,124.23006666666666,5.0,11.0,1585.3933333333332,-8.88888888888889,5.666666666666666,2.0533333333333332,1,TUDA/Tetragonally_distortion_cubic/Fe4Sb4Pt4_#1_229.json
FeRh,1.78817,2,0.6931471805599453,79.375351,4.5,8.5,2024.0,-5.0,6.0,2.0549999999999997,1,TUDA/Tetragonally_distortion_cubic/Fe1Rh1_#123_13.json
FeRu2Si,0.874558,3,1.0397207708399179,71.51855,4.25,9.5,2178.0,-30.25,6.5,2.0325,1,TUDA/Tetragonally_distortion_cubic/Fe4Si4Ru8_#139_128.json
FeRu2Sn,0.820936,3,1.0397207708399179,94.17497499999999,4.75,9.5,1882.52,2.25,6.5,2.0475000000000003,1,TUDA/Tetragonally_distortion_cubic/Fe4Sn4Ru8_#69_153.json
FeRu2Ta,0.89939,3,1.0397207708399179,109.7342705,5.0,7.25,2578.75,-25.75,6.75,1.9325,1,TUDA/Tetragonally_distortion_cubic/Ta4Fe4Ru8_#139_119.json
FeSbTi,0.205459,3,1.0986122886681098,75.15746666666665,4.333333333333333,9.0,1551.9266666666665,-17.77777777777778,5.0,1.8066666666666666,1,TUDA/Tetragonally_distortion_cubic/Ti4Fe4Sb4_#119_338.json
FeSbZr,0.19711499999999998,3,1.0986122886681098,89.60983333333333,4.666666666666666,9.0,1614.26,-33.33333333333333,5.0,1.7366666666666666,1,TUDA/Tetragonally_distortion_cubic/Zr4Fe4Sb4_#119_342.json
FeSi,0.4175,2,0.6931471805599453,41.9651,3.5,11.0,1749.0,-35.0,5.0,1.865,6,
FeSiTc2,0.534826,3,1.0397207708399179,69.98255,4.25,9.0,2089.5,-29.25,6.0,1.8824999999999998,1,TUDA/Tetragonally_distortion_cubic/Fe4Si4Tc8_#139_239.json
FeSnTi,0.25848899999999997,3,1.0986122886681098,74.14099999999999,4.333333333333333,8.666666666666666,1419.0266666666666,-12.0,4.666666666666666,1.7766666666666668,1,TUDA/Tetragonally_distortion_cubic/Ti4Fe4Sn4_#119_306.json
FeV,0.39234199999999997,2,0.6931471805599453,53.393355,4.0,6.5,1997.0,-7.0,5.5,1.73,1,TUDA/Tetragonally_distortion_cubic/V1Fe1_#123_282.json
Ga2MnTc,0.645475,3,1.0397207708399179,73.096061075,4.25,10.0,1138.7073,-13.5,5.0,1.7674999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn4Ga8Tc4_#139_220.json
GaMn2Ti,0.185129,3,1.0397207708399179,56.866572149999996,4.0,7.75,1320.47865,-16.25,5.25,1.6125,1,TUDA/Tetragonally_distortion_cubic/Ti1Mn2Ga1_#1_349.json
GaMn2V,0.46085000000000004,3,1.0397207708399179,57.635174649999996,4.0,8.0,1380.97865,-9.0,5.5,1.635,1,TUDA/Tetragonally_distortion_cubic/Mn8V4Ga4_#139_259.json
GaMn3N,0.6708379999999999,3,0.9502705392332346,49.70884658,3.6,9.8,984.6129199999999,-78.56,5.8,1.9000000000000001,1,TUDA/Tetragonally_distortion_cubic/Mn6Ga2N2_#38_209.json
GaMnPt,0.782473,3,1.0986122886681098,106.58201476666666,4.666666666666666,10.0,1287.7715333333333,-35.111111111111114,5.333333333333333,1.8799999999999997,1,TUDA/Tetragonally_distortion_cubic/Mn4Ga4Pt4_#119_172.json
GaMnPt2,0.804819,3,1.0397207708399179,128.707736075,5.0,10.0,1476.17865,-36.25,5.5,1.98,1,TUDA/Tetragonally_distortion_cubic/Mn4Ga4Pt8_#139_161.json
GaMnRh2,0.864583,3,1.0397207708399179,82.618037075,4.5,9.5,1573.97865,-23.75,5.5,1.9799999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn4Ga4Rh8_#139_133.json
GaNi3,0.19622799999999999,2,0.5623351446188083,61.450855000000004,4.0,10.75,1371.72865,-11.25,3.75,1.885,1,TUDA/Tetragonally_distortion_cubic/Ga1Ni3_#123_343.json
GaNiRh2,0.384393,3,1.0397207708399179,83.556886,4.5,10.25,1626.22865,-16.75,4.75,2.07,1,TUDA/Tetragonally_distortion_cubic/Ga4Ni4Rh8_#139_283.json
GeMn2Ti,0.451783,3,1.0397207708399179,57.59349715,4.0,8.0,1547.6,-32.625,5.5,1.6624999999999999,1,TUDA/Tetragonally_distortion_cubic/Ti1Mn2Ge1_#2_262.json
GeMn2V,0.232017,3,1.0397207708399179,58.36209965,4.0,8.25,1608.1,-24.125,5.75,1.6849999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn4V2Ge2_#71_322.json
GeMn3,1.28978,2,0.5623351446188083,59.361233225,4.0,8.75,1442.1,-23.625,6.25,1.665,1,TUDA/Tetragonally_distortion_cubic/Mn3Ge1_#123_64.json
GeMnNi2,0.9333849999999999,3,1.0397207708399179,61.238931074999996,4.0,10.25,1546.6,-23.625,4.75,1.845,2,TUDA/Tetragonally_distortion_cubic/Mn4Ni8Ge4_#139_109.json
GeMnPd2,0.807605,3,1.0397207708399179,85.102711075,4.5,10.25,1596.625,-41.125,4.75,1.99,1,TUDA/Tetragonally_distortion_cubic/Mn4Ge4Pd8_#139_158.json
GeMnRh2,0.956932,3,1.0397207708399179,83.344962075,4.5,9.75,1801.1,-30.625,5.75,2.03,1,TUDA/Tetragonally_distortion_cubic/Mn4Ge4Rh8_#139_107.json
GeMnRu2,0.653126,3,1.0397207708399179,82.42821107500001,4.5,9.25,1986.1,-22.625,6.75,1.99,1,TUDA/Tetragonally_distortion_cubic/Mn4Ge4Ru8_#139_217.json
HfMnRh2,0.85584,3,1.0397207708399179,109.810262075,5.0,7.25,2124.75,-42.5,5.75,1.8524999999999998,1,TUDA/Tetragonally_distortion_cubic/Hf4Mn4Rh8_#139_138.json
HfMnTl,0.579612,3,1.0986122886681098,145.93668143333332,5.333333333333333,7.999999999999999,1534.0,-5.333333333333333,4.666666666666666,1.49,1,TUDA/Tetragonally_distortion_cubic/Hf4Mn4Tl4_#119_233.json
In2MnW,0.19402000000000003,3,1.0397207708399179,117.10381107500001,5.0,9.75,1518.3742499999998,22.0,4.75,1.8675000000000002,1,TUDA/Tetragonally_distortion_cubic/Mn1In2W1_#1_345.json
InMnNi2,0.8968529999999999,3,1.0397207708399179,71.785756075,4.25,10.0,1351.187125,-2.25,4.5,1.7874999999999999,2,
InMnPd2,0.7430359999999999,3,1.0397207708399179,95.649536075,4.75,10.0,1401.212125,-26.25,4.5,1.9325,1,TUDA/Tetragonally_distortion_cubic/Mn4In4Pd8_#139_183.json
InMnRh2,0.813209,3,1.0397207708399179,93.891787075,4.75,9.5,1605.687125,-11.25,5.5,1.9725,1,TUDA/Tetragonally_distortion_cubic/Mn4In4Rh8_#139_157.json
KMnRu,0.6527339999999999,3,1.0986122886681098,65.0361181,4.333333333333333,5.333333333333333,1487.5666666666666,51.11111111111111,5.333333333333333,1.5233333333333332,1,TUDA/Tetragonally_distortion_cubic/K4Mn4Ru4_#119_218.json
LiMnPd2,0.921354,3,1.0397207708399179,68.68001107500001,4.0,7.0,1407.1875,-26.75,4.0,1.7325000000000002,1,TUDA/Tetragonally_distortion_cubic/Li4Mn4Pd8_#139_111.json
LiMnPt2,0.871352,3,1.0397207708399179,113.011961075,4.5,7.0,1513.8625000000002,-25.75,5.0,1.7725,1,TUDA/Tetragonally_distortion_cubic/Li4Mn4Pt8_#139_129.json
Mn2PtRh,1.7816,3,1.0397207708399179,101.96662265,4.75,8.25,1829.1,-22.5,6.5,1.915,1,TUDA/Tetragonally_distortion_cubic/Mn8Pt4Rh4_#139_14.json
Mn2SiSr,1.15995,3,1.0397207708399179,56.39552215,4.0,7.5,1443.75,-21.25,5.0,1.4874999999999998,1,TUDA/Tetragonally_distortion_cubic/Sr4Mn8Si4_#119_83.json
Mn2SiTi,0.474611,3,1.0397207708399179,46.45704715,3.75,8.0,1666.5,-43.0,5.5,1.635,1,TUDA/Tetragonally_distortion_cubic/Ti4Mn8Si4_#139_253.json
